Accts. Receivables 2021,SUM of  price,SUM of GST,SUM of PST,SUM of final price,SUM of taxes,% of taxes
2021-06-22,CA$21.84,CA$1.09,CA$1.31,CA$24.24,CA$2.40,0.0990990991
2021-06-23,CA$35.05,CA$1.75,CA$2.10,CA$38.90,CA$3.85,0.0990990991
2021-06-25,CA$34.88,CA$1.74,CA$2.09,CA$38.72,CA$3.84,0.0990990991
2021-06-26,CA$27.03,CA$1.35,CA$1.62,CA$30.00,CA$2.97,0.0990990991
2021-06-27,CA$22.52,CA$1.13,CA$1.35,CA$25.00,CA$2.48,0.0990990991
2021-06-28,CA$59.46,CA$2.97,CA$3.57,CA$66.00,CA$6.54,0.0990990991
2021-06-30,CA$45.95,CA$2.30,CA$2.76,CA$51.00,CA$5.05,0.0990990991
2021-07-01,CA$33.78,CA$1.69,CA$2.03,CA$37.50,CA$3.72,0.0990990991
2021-07-05,CA$23.42,CA$1.17,CA$1.41,CA$26.00,CA$2.58,0.0990990991
2021-07-07,CA$36.50,CA$1.83,CA$2.19,CA$40.52,CA$4.02,0.0990990991
2021-07-08,CA$50.45,CA$2.52,CA$3.03,CA$56.00,CA$5.55,0.0990990991
2021-07-10,CA$29.73,CA$1.49,CA$1.78,CA$33.00,CA$3.27,0.0990990991
2021-07-11,CA$181.99,CA$9.10,CA$10.92,CA$202.00,CA$20.02,0.0990990991
2021-07-14,CA$94.72,CA$4.74,CA$5.68,CA$105.14,CA$10.42,0.0990990991
2021-07-15,CA$68.47,CA$3.42,CA$4.11,CA$76.00,CA$7.53,0.0990990991
2021-07-17,CA$46.85,CA$2.34,CA$2.81,CA$52.00,CA$5.15,0.0990990991
2021-07-19,CA$51.77,CA$2.59,CA$3.11,CA$57.46,CA$5.69,0.0990990991
2021-07-20,CA$117.12,CA$5.86,CA$7.03,CA$130.00,CA$12.88,0.0990990991
2021-07-21,CA$150.45,CA$7.52,CA$9.03,CA$166.99,CA$16.55,0.0990990991
2021-07-24,CA$118.88,CA$5.94,CA$7.13,CA$131.96,CA$13.08,0.0990990991
2021-07-30,CA$67.57,CA$3.38,CA$4.05,CA$75.00,CA$7.43,0.0990990991
2021-08-01,CA$27.03,CA$1.35,CA$1.62,CA$30.00,CA$2.97,0.0990990991
2021-08-03,CA$9.08,CA$0.45,CA$0.54,CA$10.08,CA$1.00,0.0990990991
2021-08-04,CA$31.53,CA$1.58,CA$1.89,CA$35.00,CA$3.47,0.0990990991
2021-08-05,CA$46.85,CA$2.34,CA$2.81,CA$52.00,CA$5.15,0.0990990991
2021-08-09,CA$21.69,CA$1.08,CA$1.30,CA$24.07,CA$2.39,0.0990990991
2021-08-10,CA$58.56,CA$2.93,CA$3.51,CA$65.00,CA$6.44,0.0990990991
2021-08-16,CA$16.38,CA$0.82,CA$0.98,CA$18.18,CA$1.80,0.0990990991
2021-08-17,CA$21.14,CA$1.06,CA$1.27,CA$23.47,CA$2.33,0.0990990991
2021-08-20,CA$25.23,CA$1.26,CA$1.51,CA$28.00,CA$2.77,0.0990990991
2021-08-23,CA$36.04,CA$1.80,CA$2.16,CA$40.00,CA$3.96,0.0990990991
2021-08-29,CA$24.33,CA$1.22,CA$1.46,CA$27.00,CA$2.68,0.0990990991
2021-09-09,CA$53.06,CA$2.65,CA$3.18,CA$58.90,CA$5.84,0.0990990991
2021-09-10,CA$126.13,CA$6.31,CA$7.57,CA$140.00,CA$13.87,0.0990990991
2021-09-18,CA$31.53,CA$1.58,CA$1.89,CA$35.00,CA$3.47,0.0990990991
2021-09-22,CA$27.03,CA$1.35,CA$1.62,CA$30.00,CA$2.97,0.0990990991
2021-09-24,CA$83.79,CA$4.19,CA$5.03,CA$93.00,CA$9.22,0.0990990991
2021-09-29,CA$10.81,CA$0.54,CA$0.65,CA$12.00,CA$1.19,0.0990990991
2021-10-01,CA$90.05,CA$4.50,CA$5.40,CA$99.95,CA$9.90,0.0990990991
2021-10-04,CA$10.81,CA$0.54,CA$0.65,CA$12.00,CA$1.19,0.0990990991
2021-10-06,CA$24.33,CA$1.22,CA$1.46,CA$27.00,CA$2.68,0.0990990991
2021-10-08,CA$121.62,CA$6.08,CA$7.30,CA$135.00,CA$13.38,0.0990990991
2021-10-10,CA$19.82,CA$0.99,CA$1.19,CA$22.00,CA$2.18,0.0990990991
2021-10-11,CA$98.03,CA$4.90,CA$5.88,CA$108.81,CA$10.78,0.0990990991
2021-10-22,CA$24.33,CA$1.22,CA$1.46,CA$27.00,CA$2.68,0.0990990991
2021-10-25,CA$68.41,CA$3.42,CA$4.10,CA$75.94,CA$7.53,0.0990990991
2021-10-27,CA$90.09,CA$4.50,CA$5.41,CA$100.00,CA$9.91,0.0990990991
2021-11-05,CA$135.14,CA$6.76,CA$8.11,CA$150.00,CA$14.86,0.0990990991
2021-11-07,CA$118.92,CA$5.95,CA$7.14,CA$132.00,CA$13.08,0.0990990991
2021-11-09,CA$22.52,CA$1.13,CA$1.35,CA$25.00,CA$2.48,0.0990990991
2021-11-11,CA$99.10,CA$4.96,CA$5.95,CA$110.00,CA$10.90,0.0990990991
2021-11-18,CA$25.23,CA$1.26,CA$1.51,CA$28.00,CA$2.77,0.0990990991
2021-11-20,CA$18.02,CA$0.90,CA$1.08,CA$20.00,CA$1.98,0.0990990991
2021-11-23,CA$83.79,CA$4.19,CA$5.03,CA$93.01,CA$9.22,0.0990990991
